X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
-0.124475226,0.06626497,blue,inland new york,8,3.5,4.372133,3.025886
-0.12870158,0.07601199,blue,maine,9,3.5,4.372133,3.025886
-0.12399661,0.08637638,blue,inland virginia,6,3.5,4.372133,3.025886
0.04742837,-0.08113938,pink,chesapeake bay,4,3.5,4.372133,3.025886
0.23934077,0.18774584,orange,barrier island,3,3.5,4.372133,3.025886
0.10362126,-0.15644555,pink,barrier island,2,3.5,4.372133,3.025886
-0.010161592,-0.054114778,blue,coastal mainland,5,3.5,4.372133,3.025886
0.28370064,0.24153525,orange,barrier island,3,3.5,4.372133,3.025886
-0.12660582,0.07040745,blue,inland new york,8,3.5,4.372133,3.025886
0.08036059,-0.19592701,pink,barrier island,1,3.5,4.372133,3.025886
-0.12987292,0.076933004,blue,inland maryland,7,3.5,4.372133,3.025886
-0.017427864,-0.059678786,blue,coastal mainland,5,3.5,4.372133,3.025886
-0.12127665,0.06627455,blue,maine,9,3.5,4.372133,3.025886
0.12133679,-0.14073104,pink,barrier island,2,3.5,4.372133,3.025886
-0.04571787,-0.0073527824,blue,coastal mainland,5,3.5,4.372133,3.025886
0.11153288,-0.18505031,pink,barrier island,2,3.5,4.372133,3.025886
-0.121819094,0.073655106,blue,inland virginia,6,3.5,4.372133,3.025886
-0.049876433,-0.0037092345,blue,coastal mainland,5,3.5,4.372133,3.025886
0.018555576,-0.080198206,pink,coastal mainland,5,3.5,4.372133,3.025886
-0.015540045,-0.05730968,blue,chesapeake bay,4,5,4.4639864,3.0241222
-0.113603465,0.030319342,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.11388484,0.051901918,blue,maine,9,5,4.4639864,3.0241222
-0.046109594,-0.043453604,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.047116887,-0.017175548,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.045899868,-0.029446859,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.12650822,0.065008745,blue,maine,9,5,4.4639864,3.0241222
-0.13023074,0.07458726,blue,inland virginia,6,5,4.4639864,3.0241222
-0.0235984,-0.04694122,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.049059346,-0.029122397,blue,coastal mainland,5,5,4.4639864,3.0241222
0.06675702,-0.1560643,pink,barrier island,1,5,4.4639864,3.0241222
0.13389848,-0.16213934,pink,barrier island,2,5,4.4639864,3.0241222
-0.14585838,0.2190447,red,inland virginia,6,5,4.4639864,3.0241222
0.030965472,-0.09856326,pink,chesapeake bay,4,5,4.4639864,3.0241222
-0.113774866,0.049079828,blue,inland new york,8,5,4.4639864,3.0241222
-0.022624299,-0.039704014,blue,coastal mainland,5,5,4.4639864,3.0241222
0.23665538,0.15488154,orange,barrier island,3,5,4.4639864,3.0241222
-0.13175982,0.067923315,blue,inland maryland,7,5,4.4639864,3.0241222
0.12749325,-0.16343573,pink,barrier island,2,5,4.4639864,3.0241222
-0.12609273,0.05988338,blue,inland maryland,7,5,4.4639864,3.0241222
0.31573117,0.32784417,orange,barrier island,3,5,4.4639864,3.0241222
-0.05328177,0.0048047868,blue,coastal mainland,5,5,4.4639864,3.0241222
0.04911682,-0.09268985,pink,chesapeake bay,4,5,4.4639864,3.0241222
0.060639754,-0.120428145,pink,barrier island,1,5,4.4639864,3.0241222
-0.13057981,0.064122714,blue,inland new york,8,5,4.4639864,3.0241222
0.2639004,0.19392173,orange,barrier island,3,5,4.4639864,3.0241222
-0.12332414,0.0501963,blue,maine,9,5,4.4639864,3.0241222
0.11126997,-0.17238224,pink,barrier island,2,5,4.4639864,3.0241222
0.09191466,-0.14312117,gray,barrier island,1,5,4.4639864,3.0241222
-0.02863652,-0.03426219,blue,coastal mainland,5,5,4.4639864,3.0241222
0.087278284,-0.16589832,pink,barrier island,1,5,4.4639864,3.0241222
0.3305251,0.36004797,orange,barrier island,3,5,4.4639864,3.0241222
-0.11425681,0.030852785,blue,maine,9,5,4.4639864,3.0241222
0.0817653,-0.15183277,gray,barrier island,1,5,4.4639864,3.0241222
-0.04460631,-0.0131223,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.041403193,-0.027488852,blue,coastal mainland,5,5,4.4639864,3.0241222
